MRT	0x00000029
RenderTargetCorrection	0x00000044
ProgressBarTextInflateTimeEnd	0x000EE95F
missionGenerousRewardunlockCount	0x00B1FC43
description	0x00B2CCCA
parent	0x00B2CCCB
cameraZoomScale	0x00C7C4F8
cameraRotateScale	0x00C7C4F9
cameraTranslateScale	0x00C7C4FA
cameraInitialZoom	0x00C7C4FB
cameraInitialPitch	0x00C7C4FC
cameraInitialHeading	0x00C7C4FD
ModelToLoad	0x00E5DE84
MVHandleSize	0x00E5DE85
cameraType	0x00ED3928
cameraName	0x00ED3929
cameraBackgroundColor	0x00ED392A
defaultMinChange	0x00F75FB6
keyboardRotationSpeed	0x00F761E5
keyboardRotationLerpSteps	0x00F761EE
keyboardRotationLerpMinChange	0x00F761F4
keyboardTranslationSpeed	0x00F761FB
keyboardTranslationLerpSteps	0x00F761FF
keyboardTranslationLerpMinChange	0x00F76204
keyboardZoomSpeed	0x00F76208
keyboardZoomLerpSteps	0x00F7620D
keyboardZoomLerpMinChange	0x00F76211
keyboardZoomScale	0x00F76215
subjectTrackingDeadZoneMagnitude	0x00F76218
modelBoundingRadius	0x00F9EFB9
modelBoundingBox	0x00F9EFBA
modelMeshLOD0	0x00F9EFBB
modelMeshLOD1	0x00F9EFBC
modelMeshLOD2	0x00F9EFBD
modelMeshLOD3	0x00F9EFBE
modelMeshLowRes	0x00F9EFBF
modelMeshHull	0x00F9EFC0
modelOffset	0x00FBA610
modelScale	0x00FBA611
modelColor	0x00FBA612
modelRotation	0x00FBA613
modelZCorpMinScale	0x00FBA614
rotationPitchRatioMax	0x00FC4B86
cameraPitchScaling	0x00FC4C71
continuousRotationScaling	0x00FC4C7F
maxRotationDelta	0x00FC4CA3
smoothCamZoomLevels	0x00FC5228
smoothCamFOVLevels	0x00FC6857
smoothCamNearClipLevels	0x00FC7047
smoothCamFarClipLevels	0x00FC704C
smoothCamMinPitchLevels	0x00FC71FC
smoothCamMaxPitchLevels	0x00FC7205
smoothCamOrientations	0x00FC78E7
cameraMinZoomDistance	0x00FE23B2
cameraMaxZoomDistance	0x00FE2437
cameraMinPitch	0x00FE243B
cameraMaxPitch	0x00FE243F
skylight	0x0100EAB6
skylightStrength	0x0100EAB7
lightSunDir	0x0100EAB8
lightSunColor	0x0100EAB9
lightSunStrength	0x0100EABA
lightSkyDir	0x0100EABB
lightSkyColor	0x0100EABC
lightSkyStrength	0x0100EABD
lightFill1Dir	0x0100EABE
lightFill1Color	0x0100EABF
